Date;Eurozone;US;China;Japan;UK;Australia
31/12/2018;0,00242000;0,02684000;0,03310000;0,00003000;0,01277000;0,02318000
30/11/2018;0,00313000;0,02988000;0,03380000;0,00092000;0,01364000;0,02592000
31/10/2018;0,00385000;0,03144000;0,03536000;0,00127000;0,01437000;0,02627000
28/09/2018;0,00470000;0,03061000;0,03625000;0,00130000;0,01573000;0,02668000
31/08/2018;0,00326000;0,02860000;0,03595000;0,00107000;0,01427000;0,02519000
31/07/2018;0,00443000;0,02960000;0,03487000;0,00062000;0,01330000;0,02647000
29/06/2018;0,00302000;0,02860000;0,03479000;0,00036000;0,01278000;0,02631000
31/05/2018;0,00341000;0,02859000;0,03638000;0,00040000;0,01230000;0,02670000
30/04/2018;0,00559000;0,02953000;0,03648000;0,00055000;0,01418000;0,02769000
30/03/2018;0,00497000;0,02739000;0,03751000;0,00049000;0,01350000;0,02601000
28/02/2018;0,00656000;0,02861000;0,03845000;0,00053000;0,01501000;0,02808000
31/01/2018;0,00697000;0,02705000;0,03922000;0,00085000;0,01510000;0,02813000
29/12/2017;0,00427000;0,02405000;0,03902000;0,00048000;0,01190000;0,02630000
30/11/2017;0,00367000;0,02410000;0,03917000;0,00039000;0,01330000;0,02499000
31/10/2017;0,00363000;0,02379000;0,03894000;0,00071000;0,01332000;0,02669000
29/09/2017;0,00464000;0,02334000;0,03623000;0,00068000;0,01365000;0,02839000
31/08/2017;0,00361000;0,02117000;0,03659000;0,00009000;0,01034000;0,02714000
31/07/2017;0,00543000;0,02294000;0,03626000;0,00083000;0,01230000;0,02678000
30/06/2017;0,00466000;0,02304000;0,03568000;0,00086000;0,01257000;0,02598000
31/05/2017;0,00304000;0,02203000;0,03637000;0,00049000;0,01046000;0,02387000
28/04/2017;0,00317000;0,02280000;0,03473000;0,00018000;0,01085000;0,02575000
31/03/2017;0,00328000;0,02387000;0,03293000;0,00070000;0,01139000;0,02701000
28/02/2017;0,00208000;0,02390000;0,03321000;0,00056000;0,01151000;0,02722000
31/01/2017;0,00436000;0,02453000;0,03365000;0,00087000;0,01417000;0,02713000
30/12/2016;0,00208000;0,02444000;0,03060000;0,00046000;0,01239000;0,02765000
30/11/2016;0,00275000;0,02381000;0,02953000;0,00025000;0,01418000;0,02723000
31/10/2016;0,00163000;0,01825000;0,02744000;-0,00048000;0,01245000;0,02346000
30/09/2016;-0,00119000;0,01594000;0,02736000;-0,00089000;0,00746000;0,01908000
31/08/2016;-0,00065000;0,01580000;0,02808000;-0,00063000;0,00642000;0,01824000
29/07/2016;-0,00119000;0,01453000;0,02800000;-0,00190000;0,00685000;0,01874000
30/06/2016;-0,00130000;0,01470000;0,02860000;-0,00217000;0,00867000;0,01981000
31/05/2016;0,00139000;0,01846000;0,02970000;-0,00105000;0,01429000;0,02303000
29/04/2016;0,00271000;0,01833000;0,02920000;-0,00075000;0,01596000;0,02517000
31/03/2016;0,00153000;0,01769000;0,02890000;-0,00029000;0,01415000;0,02489000
29/02/2016;0,00107000;0,01735000;0,02900000;-0,00060000;0,01337000;0,02399000
29/01/2016;0,00325000;0,01921000;0,02890000;0,00100000;0,01560000;0,02635000
31/12/2015;0,00629000;0,02269000;0,02860000;0,00265000;0,01960000;0,02880000
30/11/2015;0,00473000;0,02206000;0,03123000;0,00307000;0,01825000;0,02859000
30/10/2015;0,00517000;0,02142000;0,03080000;0,00309000;0,01922000;0,02611000
30/09/2015;0,00587000;0,02037000;0,03270000;0,00356000;0,01762000;0,02605000
31/08/2015;0,00798000;0,02218000;0,03400000;0,00380000;0,01962000;0,02663000
31/07/2015;0,00644000;0,02180000;0,03600000;0,00415000;0,01882000;0,02758000
